name	CD_7_long_frac	CD_7_short_frac	TD_31_long_frac	TD_31_short_frac	TD_92_long_frac	TD_92_short_frac	taxonomy_lvl
d__Bacteria|p__Chlorobiota	0.0	0.0	0.0	0.000259024142086139	0.0	0.0	P
d__Bacteria|p__Acidobacteriota	0.0	0.00010073070050143743	0.0	0.0	0.0	0.0008629484455422001	P
d__Bacteria|p__Chlamydiota	0.0	0.00010073070050143743	0.0	0.0	0.0	9.588316061580001e-05	P
d__Bacteria|p__Planctomycetota	0.0	0.00392849731955606	0.0	0.003108289705033668	0.0	0.0023970790153950003	P
d__Bacteria|p__Spirochaetota	0.0	0.009367955146633682	0.0	0.002279412450358023	0.0	0.0027326700775503004	P
d__Bacteria|p__Thermodesulfobacteriota	0.0	0.010475992852149493	0.0	0.0073044808068291195	0.0	0.004698274870174201	P
d__Bacteria|p__Fusobacteriota	0.0	0.31075421104693446	0.0	0.04797127111435294	0.0054580683895969215	0.0773777106169506	P
d__Bacteria|p__Gemmatimonadota	0.0	0.008058456040114993	0.0	0.000777072426258417	0.0	0.010211556605582702	P
d__Bacteria|p__Rhodothermota	0.0	0.0009065763045129369	0.0	0.0003108289705033668	0.0	4.794158030790001e-05	P
d__Bacteria|p__Chloroflexota	0.0	0.0009065763045129369	0.0	0.0	0.0	9.588316061580001e-05	P
d__Bacteria|p__Thermomicrobiota	0.0	0.00624530343108912	0.0	0.0009324869115101004	0.0	0.0006711821243106001	P
d__Bacteria|p__Mycoplasmatota	0.0	0.14092225000151096	0.0	0.03217079844709846	0.0	0.023203724869023605	P
d__Bacteria|p__Cyanobacteriota	0.0	0.1474697455341044	0.0	0.029062508742064796	0.0	0.0906575283622389	P
d__Bacteria|p__Deinococcota	0.0	0.16489615672085306	0.0	0.03615977023522501	0.0	0.008533601294806202	P
d__Bacteria|p__Verrucomicrobiota	0.005386479935362241	0.00010073070050143743	0.0	0.0001554144852516834	0.0	0.0	P
d__Bacteria|p__Campylobacterota	0.7918125504982493	2.362840041662218	0.9823032526850897	0.4072895610162449	0.09142264552574844	0.19277309441806592	P
d__Bacteria|p__Pseudomonadota	3.0972259628332885	20.92770960547814	1.8422963727401291	2.443478341955384	10.464481619954698	26.072069618845262	P
d__Bacteria|p__Bacteroidota	18.621061136547265	10.114369637349332	68.52425180598554	85.67751908748903	84.02969189203941	52.474984083395334	P
d__Bacteria|p__Actinomycetota	24.034473471586317	15.39658684094421	1.0396361273554255	0.7918886071857442	0.17329367136970228	3.332035714559666	P
d__Bacteria|p__Bacillota	42.34850525181793	45.0809169717128	26.701830829797807	8.045341658023894	4.824932456403679	14.756754009833777	P
d__Eukaryota|k__Fungi|p__Ascomycota	0.0	0.0	0.0	0.0	0.0	4.794158030790001e-05	P
d__Eukaryota|k__Metazoa|p__Chordata	0.8456773498518718	1.7057736822913414	0.7529717540037457	1.6755753703268161	0.2510711459214584	2.002663634201907	P
d__Viruses|k__Loebvirae|p__Hofneiviricota	0.0	0.0	0.0	0.0	0.0	4.794158030790001e-05	P
d__Viruses|k__Zilligvirae|p__Taleaviricota	0.0	0.0	0.0	5.18048284172278e-05	0.0	0.00014382474092370002	P
d__Viruses|k__Helvetiavirae|p__Dividoviricota	0.0	0.0	0.0	5.18048284172278e-05	0.0	0.0	P
d__Viruses|k__Shotokuvirae|p__Cossaviricota	0.0	0.0006043842030086246	0.0	0.000259024142086139	0.0	0.00038353264246320006	P
d__Viruses|k__Shotokuvirae|p__Cressdnaviricota	0.0	0.0011080377055158117	0.0	0.0001554144852516834	0.0	4.794158030790001e-05	P
d__Viruses|k__Pararnavirae|p__Artverviricota	0.0	0.0003021921015043123	0.0	5.18048284172278e-05	0.0	4.794158030790001e-05	P
d__Viruses|k__Orthornavirae|p__Duplornaviricota	0.0	0.0	0.0	0.0004144386273378224	0.0	0.0017258968910844003	P
d__Viruses|k__Orthornavirae|p__Lenarviricota	0.0	0.0003021921015043123	0.0	0.0004144386273378224	0.0	0.0	P
d__Viruses|k__Orthornavirae|p__Pisuviricota	0.0	0.0005036535025071871	0.0	0.0007252675978411891	0.0	0.00038353264246320006	P
d__Viruses|k__Orthornavirae|p__Kitrinoviricota	0.0	0.0009065763045129369	0.0	0.0002072193136689112	0.0	0.00033559106215530005	P
d__Viruses|k__Orthornavirae|p__Negarnaviricota	0.0	0.0011080377055158117	0.0	0.0009842917399273282	0.0	0.0008629484455422001	P
d__Viruses|k__Bamfordvirae|p__Preplasmiviricota	0.0	0.00010073070050143743	0.0	0.0001036096568344556	0.0	0.0	P
d__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	0.0	0.007151879735602057	0.0	0.0033155090187025793	0.0	0.005225632253561101	P
d__Viruses|k__Sangervirae|p__Phixviricota	0.005386479935362241	0.0	0.0	0.0001036096568344556	0.0	0.0	P
d__Viruses|k__Heunggongvirae|p__Peploviricota	0.0	0.0021153447105301862	0.0	0.0002072193136689112	0.0	0.0007191237046185002	P
d__Viruses|k__Heunggongvirae|p__Uroviricota	10.250471316994345	1.3405241622731294	0.15670985743225166	0.15650238664844518	0.1569194662009115	0.19521811501376882	P
d__Archaea|p__Candidatus_Korarchaeota	0.0	0.0	0.0	0.0002072193136689112	0.0	0.0	P
d__Archaea|p__Candidatus_Lokiarchaeota	0.0	0.0009065763045129369	0.0	0.0009842917399273282	0.0	0.006759762823413901	P
d__Archaea|p__Nanoarchaeota	0.0	0.0003021921015043123	0.0	0.0001036096568344556	0.0	0.0	P
