name	CD_7_long_frac	CD_7_short_frac	TD_31_long_frac	TD_31_short_frac	TD_92_long_frac	TD_92_short_frac	taxonomy_lvl
d__Viruses|k__Helvetiavirae|p__Dividoviricota|c__Laserviricetes	0.0	0.0	0.0	5.247032934051617e-05	0.0	0.0	C
d__Viruses|k__Shotokuvirae|p__Cossaviricota|c__Quintoviricetes	0.0	0.00021166081777273553	0.0	0.00010494065868103235	0.0	0.0	C
d__Viruses|k__Shotokuvirae|p__Cossaviricota|c__Papovaviricetes	0.0	0.00042332163554547106	0.0	0.0001574109880215485	0.0	0.00039125716306278067	C
d__Viruses|k__Shotokuvirae|p__Cressdnaviricota|c__Arfiviricetes	0.0	0.0005291520444318389	0.0	0.0001574109880215485	0.0	0.0	C
d__Viruses|k__Shotokuvirae|p__Cressdnaviricota|c__Repensiviricetes	0.0	0.0006349824533182066	0.0	0.0	0.0	4.8907145382847584e-05	C
d__Viruses|c__Naldaviricetes	0.0	0.001799116951068252	0.0	0.0009969362574698073	0.0	0.0004890714538284758	C
d__Viruses|k__Pararnavirae|p__Artverviricota|c__Revtraviricetes	0.0	0.0003174912266591033	0.0	5.247032934051617e-05	0.0	4.8907145382847584e-05	C
d__Viruses|k__Orthornavirae|p__Duplornaviricota|c__Resentoviricetes	0.0	0.0	0.0	0.0004197626347241294	0.0	0.0017606572337825128	C
d__Viruses|k__Orthornavirae|p__Lenarviricota|c__Leviviricetes	0.0	0.00010583040888636777	0.0	0.0004197626347241294	0.0	0.0	C
d__Viruses|k__Orthornavirae|p__Lenarviricota|c__Howeltoviricetes	0.0	0.00021166081777273553	0.0	0.0	0.0	0.0	C
d__Viruses|k__Orthornavirae|p__Pisuviricota|c__Stelpaviricetes	0.0	0.00010583040888636777	0.0	0.0007345846107672264	0.0	0.0	C
d__Viruses|k__Orthornavirae|p__Pisuviricota|c__Pisoniviricetes	0.0	0.00021166081777273553	0.0	0.0	0.0	0.0003423500176799331	C
d__Viruses|k__Orthornavirae|p__Pisuviricota|c__Duplopiviricetes	0.0	0.00021166081777273553	0.0	0.0	0.0	4.8907145382847584e-05	C
d__Viruses|k__Orthornavirae|p__Kitrinoviricota|c__Flasuviricetes	0.0	0.00021166081777273553	0.0	0.0	0.0	0.0	C
d__Viruses|k__Orthornavirae|p__Kitrinoviricota|c__Alsuviricetes	0.0	0.0007408128622045744	0.0	0.0002098813173620647	0.0	0.0003423500176799331	C
d__Viruses|k__Orthornavirae|p__Negarnaviricota|c__Monjiviricetes	0.0	0.00010583040888636777	0.0	0.0004197626347241294	0.0	0.00014672143614854273	C
d__Viruses|k__Orthornavirae|p__Negarnaviricota|c__Chunqiuviricetes	0.0	0.00010583040888636777	0.0	0.0	0.0	0.0	C
d__Viruses|k__Orthornavirae|p__Negarnaviricota|c__Ellioviricetes	0.0	0.00095247367997731	0.0	0.0005771736227456779	0.0	0.0007336071807427136	C
d__Viruses|k__Bamfordvirae|p__Preplasmiviricota|c__Tectiliviricetes	0.0	0.00010583040888636777	0.0	0.00010494065868103235	0.0	0.0	C
d__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Pokkesviricetes	0.0	0.00042332163554547106	0.0	0.0	0.0	0.0010759571984226468	C
d__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	0.0	0.007090637395386641	0.0	0.003358101077793035	0.0	0.00425492164830774	C
d__Viruses|k__Sangervirae|p__Phixviricota|c__Malgrandaviricetes	0.005600044800358403	0.0	0.0	0.00010494065868103235	0.0	0.0	C
d__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	0.0	0.002222438586613723	0.0	0.0002098813173620647	0.0	0.0007336071807427136	C
d__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	10.656885255082042	1.4083910814597822	0.16367265469061876	0.15851286493769934	0.15837166386647203	0.19914989599895536	C
d__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia	0.0	0.00095247367997731	0.0	0.0009969362574698073	0.0	0.006895907498981509	C
d__Archaea|p__Nanoarchaeota|c__Nanobdellia	0.0	0.0003174912266591033	0.0	0.00010494065868103235	0.0	0.0	C
d__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia	0.0	0.00042332163554547106	0.0	0.0	0.0	0.0	C
d__Archaea|p__Candidatus_Nanohalarchaeota|c__Candidatus_Nanohalobia	0.0	0.0006349824533182066	0.0	0.0002623516467025809	0.0	0.0	C
d__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	0.0	0.04423711091450173	0.0	0.007503257095693812	0.0	0.006553557481301575	C
d__Archaea|p__Nitrososphaerota|c__Conexivisphaeria	0.0	0.0014816257244091489	0.0	0.0003672923053836132	0.0	0.0004401643084456282	C
d__Archaea|p__Nitrososphaerota|c__Nitrososphaeria	0.0	0.014075444381886916	0.0	0.008027960389098974	0.0	0.009732521931186669	C
d__Archaea|p__Thermoproteota|c__Thermoprotei	0.0	0.05048110503879743	0.0	0.018574496586542723	0.0	0.0151123079232999	C
d__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia	0.0	0.0005291520444318389	0.0	5.247032934051617e-05	0.0	0.00014672143614854273	C
d__Archaea|p__Euryarchaeota|c__Archaeoglobi	0.0	0.0064556549420684345	0.0	0.003358101077793035	0.0	0.0026898929960566167	C
d__Archaea|p__Euryarchaeota|c__Methanonatronarchaeia	0.0	0.008043111075363952	0.0	0.0006821142814267102	0.0	0.0017117500883996651	C
d__Archaea|p__Euryarchaeota|c__Thermococci	0.0	0.06519153187400255	0.0	0.036781700867701835	0.0	0.016824058011699568	C
d__Archaea|p__Euryarchaeota|c__Methanopyri	0.0	0.0032807426754774007	0.0	0.0002623516467025809	0.0	0.00039125716306278067	C
d__Archaea|p__Euryarchaeota|c__Methanococci	0.0	0.050163613812138325	0.0	0.019099199879947886	0.0	0.02200821542228141	C
d__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.2774873321000563	0.0	0.03069514266420196	0.002754289806373427	0.05257518128656115	C
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.0	0.5903220207681594	0.0	0.18438073730257384	0.0	0.2296190475724694	C
d__Archaea|p__Euryarchaeota|c__Halobacteria	0.0	0.9784021301544701	0.0	0.2559502665230379	0.0	0.3066967086958372	C
