name	CD_7_long_frac	CD_7_short_frac	TD_31_long_frac	TD_31_short_frac	TD_92_long_frac	TD_92_short_frac	taxonomy_lvl
Chlorobiaceae	0.0	0.0	0.0	0.0002945796172114622	0.0	0.0	F
Acidobacteriaceae	0.0	0.00012036446359576798	0.0	0.0	0.0	0.0009336269071274633	F
Parachlamydiaceae	0.0	0.00012036446359576798	0.0	0.0	0.0	0.0001037363230141626	F
Phycisphaeraceae	0.0	0.0	0.0	0.0	0.0	5.18681615070813e-05	F
Planctomycetaceae	0.0	0.0	0.0	5.891592344229244e-05	0.0	5.18681615070813e-05	F
Isosphaeraceae	0.0	0.004573849616639184	0.0	0.0034760394830952537	0.0	0.0024896717523399023	F
Brachyspiraceae	0.0	0.00012036446359576798	0.0	0.0	0.0	0.0	F
Leptospiraceae	0.0	0.0006018223179788399	0.0	0.0	0.0	0.0009336269071274633	F
Spirochaetaceae	0.0	0.0	0.0	0.00011783184688458488	0.0	5.18681615070813e-05	F
Borreliaceae	0.0	0.0042127562258518795	0.0	0.0010015706985189716	0.0	0.0009336269071274633	F
Treponemataceae	0.0	0.006258952106979935	0.0	0.001472898086057311	0.0	0.001037363230141626	F
Desulfobacteraceae	0.0	0.0	0.0	0.0015318140094996034	0.0	0.0	F
Geobacteraceae	0.0	0.000722186781574608	0.0	0.0	0.0	5.18681615070813e-05	F
Geoalkalibacteraceae	0.0	0.0024072892719153595	0.0	0.0051256853394794424	0.0	0.004356925566594829	F
Desulfovibrionaceae	0.0	0.009388428160469904	0.0	0.0016496458563841883	0.0	0.0006742860995920569	F
Leptotrichiaceae	0.0	0.000361093390787304	0.0	0.00011783184688458488	0.0	0.0001037363230141626	F
Haliovirgaceae	0.0	0.006740409961363007	0.0	0.0004124114640960471	0.0	0.008039565033597602	F
Fusobacteriaceae	0.0	0.3642228668407939	0.0	0.05402590179658217	0.005755726948313572	0.07557191131581745	F
Gemmatimonadaceae	0.0	0.009629157087661438	0.0	0.0008837388516343866	0.0	0.011047918401008317	F
Salinibacteraceae	0.0	0.001083280172361912	0.0	0.0003534955406537546	0.0	5.18681615070813e-05	F
Candidatus_Chloroheliaceae	0.0	0.001083280172361912	0.0	0.0	0.0	0.0001037363230141626	F
Thermomicrobiaceae	0.0	0.007462596742937615	0.0	0.001060486621961264	0.0	0.0007261542610991382	F
Spiroplasmataceae	0.0	0.0	0.0	0.00023566369376916977	0.0	5.18681615070813e-05	F
Metamycoplasmataceae	0.0	0.1683898845704794	0.0	0.03635112476389443	0.0	0.02505232200792027	F
Pseudanabaenaceae	0.0	0.00012036446359576798	0.0	0.0003534955406537546	0.0	0.0001037363230141626	F
Chroococcidiopsidaceae	0.0	0.00012036446359576798	0.0	0.0003534955406537546	0.0	0.0	F
Dermocarpellaceae	0.0	0.00012036446359576798	0.0	0.0	0.0	5.18681615070813e-05	F
Merismopediaceae	0.0	0.00012036446359576798	0.0	0.0	0.0	0.0	F
Synechococcaceae	0.0	0.00024072892719153595	0.0	0.00011783184688458488	0.0	0.0008817587456203822	F
Nodosilineaceae	0.0	0.0009629157087661438	0.0	0.0001767477703268773	0.0	0.0013485721991841138	F
Geminocystaceae	0.0	0.00012036446359576798	0.0	0.0	0.0	0.0003630771305495691	F
Aphanothecaceae	0.0	0.00024072892719153595	0.0	0.0	0.0	0.0004149452920566504	F
Microcoleaceae	0.0	0.0004814578543830719	0.0	5.891592344229244e-05	0.0	0.0003630771305495691	F
Oscillatoriaceae	0.0	0.0009629157087661438	0.0	0.0	0.0	0.0	F
Acaryochloridaceae	0.0	0.0020461958811280557	0.0	0.000530243310980632	0.0	0.0012448358761699512	F
Aphanizomenonaceae	0.0	0.0	0.0	5.891592344229244e-05	0.0	5.18681615070813e-05	F
Nostocaceae	0.0	0.006860774424958776	0.0	0.0019442254735956505	0.0	0.004149452920566504	F
Coleofasciculaceae	0.0	0.010230979405640278	0.0	0.0018263936267110656	0.0	0.0018672538142549266	F
Leptolyngbyaceae	0.0	0.14997412164032692	0.0	0.024803603769205117	0.0	0.08241850863475218	F
Thermaceae	0.0	0.006740409961363007	0.0	0.001590729932941896	0.0	0.0001037363230141626	F
Deinococcaceae	0.0	0.19017585248131344	0.0	0.03906125724223989	0.0	0.009076928263739228	F
Opitutaceae	0.0	0.00012036446359576798	0.0	0.0001767477703268773	0.0	0.0	F
Akkermansiaceae	0.006201550387596899	0.0	0.0	0.0	0.0	0.0	F
Helicobacteraceae	0.0	0.00012036446359576798	0.0	0.0	0.0	0.0	F
Sulfurimonadaceae	0.0	0.0006018223179788399	0.0	0.00011783184688458488	0.0	0.0	F
Arcobacteraceae	0.0	0.0019258314175322876	0.0	0.0008248229281920942	0.0	0.002852748882889471	F
Sulfurovaceae	0.0	0.004453485153043416	0.0	0.0002945796172114622	0.0	0.0016597811682266016	F
Campylobacteraceae	0.9116279069767441	2.815084074577822	1.2158198505061972	0.4617240920172459	0.09640842638425233	0.19492055094361152	F
Hydrogenophilaceae	0.0	0.0	0.0	0.0	0.0	0.014523085221982764	F
Acidithiobacillaceae	0.0	0.006981138888554543	0.0	0.0012961503157304338	0.0	0.0012967040376770326	F
Sterolibacteriaceae	0.0	0.0	0.0	0.0001767477703268773	0.0	0.0	F
