"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"reannotate_1773","isomerase activity","GO:0016853","0.00013239828788737582","3.8781176309527594","1579","1108","36","129949","O06543,P9WFX1,P9WG45,P9WG47,P9WG49,P9WGG1,P9WH11,P9WIQ1,P9WKD7,P9WMP9,P9WMQ1,P9WMQ3,P9WN69,P9WNC5,P9WP19,P9WPE7,P9WPE9,P9WQ19,P9WQA9,Q79FW5,P9WHJ1,P9WKI1,P9WMM5,P9WMV9,P9WPB1,P9WFX7,P9WHP7,P9WHP9,P9WI51,P9WJK7,P9WKK5,P9WMN9,P9WN67,P9WPW9,P9WQ21,P9WHM1"
"reannotate_1773","double-strand break repair","GO:0006302","0.00014133410691130217","3.8497530210534125","129","1108","10","129949","P9WMQ1,P9WMQ3,P9WGW3,P9WHJ1,P9WKD9,P9WNU5,P9WHI9,P9WIQ5,P9WMQ9,P9WHI5"
"reannotate_1773","cellular respiration","GO:0045333","0.0001510731733533674","3.8208126481624043","422","1108","17","129949","P95160,P9WIV9,P9WJQ1,P9WJQ3,P9WN91,P9WP37,P9WP69,P9WIV7,P9WIW1,P9WIW5,P9WIW9,P9WIX1,P9WIX3,P9WJG9,P9WJH1,P9WN89,P9WP71"
"reannotate_1773","oxidoreductase activity, acting on a sulfur group of donors","GO:0016667","0.00016248304521705297","3.7891919500871922","242","1108","13","129949","P9WF39,P9WF41,P9WF43,P9WG35,P9WG67,P9WHH3,P9WHH9,P9WIK3,P9WIS7,P9WQB5,P9WQB7,Q6MX01,P9WJM5"
"reannotate_1773","acid-thiol ligase activity","GO:0016878","0.0001703352356829396","3.7686955042405867","243","1108","13","129949","O05307,O53551,O53580,P71716,P95141,P9WQ41,P9WQ43,P9WQ55,P9WQ61,O06417,P9WGC5,P9WGC7,P9WQ39"
"reannotate_1773","vitamin binding","GO:0019842","0.0001832586865080438","3.736935430530762","697","1108","22","129949","A0A089QRB9,I6X8D2,I6XD69,I6YFP0,O53901,P96202,P96285,P9WG39,P9WG41,P9WQ61,P9WQ63,P9WQE1,P9WQE3,P9WQE5,P9WQE9,O33259,O53554,P9WH77,Q10896,O06335,P9WJK7,P9WK11"
"reannotate_1773","intracellular signal transduction","GO:0035556","0.00018730173673121636","3.7274581956664767","756","1108","23","129949","O07732,O69729,P96368,P9WGJ9,P9WGK1,P9WGK3,P9WGK5,P9WGK9,P9WGL1,P9WGL3,P9WGL9,P9WGM1,P9WGM7,P9WGM9,P9WMF9,P9WQ35,O05797,O07776,P9WGK7,P9WGM5,P9WGN1,L7N689,O69730"
"reannotate_1773","export from cell","GO:0140352","0.00019128284105110214","3.7183239864340347","102","1108","9","129949","P9WJD9,P9WJE1,P9WNB1,P9WNB3,P9WNK5,P9WNK7,P9WJC5,P9WJD5,P9WJD7"
"reannotate_1773","catechol-containing compound metabolic process","GO:0009712","0.00019743178591957627","3.7045829259410668","51","1108","7","129949","O33336,P9WFX1,P9WQ63,P9WK15,P9WKF7,P9WQF1,P9WQF9"
"reannotate_1773","metal ion transport","GO:0030001","0.00020332366661940463","3.6918120670874903","482","1108","18","129949","P9WMK7,P9WNE5,P9WPS3,P9WPT5,P9WPU1,P9WQJ7,P9WQJ9,I6YEJ7,P9WIZ5,P9WKF3,P9WPS5,P9WPS7,P9WPS9,P9WPT1,P9WPT9,P9WPU3,P9WI03,P9WKF1"
"reannotate_1773","proton transmembrane transporter activity","GO:0015078","0.00020332366661940463","3.6918120670874903","482","1108","18","129949","P9WIV9,P9WP37,P9WP69,P9WPU7,P9WHH5,P9WIV7,P9WIW1,P9WIW5,P9WIW9,P9WJH1,P9WJH3,P9WP35,P9WP71,P9WPS1,P9WPU5,P9WPU9,P9WPV1,P9WPV5"
"reannotate_1773","ribonucleoside monophosphate biosynthetic process","GO:0009156","0.00025361971724213755","3.5958169859772586","295","1108","14","129949","P9WHQ9,P9WMS7,P9WHL7,P9WHM5,P9WHQ7,P9WKI3,P63907,P9WHL5,P9WHL9,P9WHM3,P9WHM7,P9WHM9,P9WHM1,P9WHN1"
"reannotate_1773","oxidoreductase activity, acting on NAD(P)H","GO:0016651","0.0002593422705600107","3.586126691195204","389","1108","16","129949","P95160,P95200,P9WHH7,P9WHH9,P9WIV9,P9WIV5,P9WIV7,P9WIW1,P9WIW5,P9WIW9,P9WIX1,P9WIX3,P9WJG9,P9WJH1,P9WJH3,P9WJH5"
